ypred,y
0.11016219854354858,1
0.982243437319994,1
0.66085484623909,1
0.9667525924742222,-1
0.7675323486328125,1
0.9976649240124971,-1
0.9812320098280907,-1
9.89079475402832e-4,-1
0.056909263134002686,1
0.5620290040969849,-1
0.377554714679718,-1
0.13249915838241577,1
0.0017747282981872559,-1
0.0955614447593689,1
0.05449181795120239,-1
0.09634971618652344,-1
0.0071547627449035645,1
0.019739210605621338,1
0.6246341168880463,-1
0.9819379895925522,1
0.9923452674411237,-1
0.2034652829170227,1
0.40721088647842407,1
0.9210749492049217,-1
0.6979802548885345,1
0.12265610694885254,1
0.03045940399169922,1
0.05750244855880737,1
0.746235728263855,-1
0.12891513109207153,1
0.9445188418030739,1
0.022174537181854248,-1
0.6663300395011902,-1
0.9958798680454493,1
0.29714691638946533,-1
0.015974819660186768,1
0.9859801214188337,1
0.003354966640472412,-1
0.0865563154220581,1
0.5203125178813934,1
0.7338261902332306,-1
0.01522153615951538,1
0.47191154956817627,-1
0.9997476819553412,-1
0.0599399209022522,1
0.5468075275421143,-1
0.8294095396995544,1
0.021170496940612793,1
0.9987091161310673,1
0.9802424442023039,-1
